CSE110,PROGRAMMING LANGUAGE I,A,4
ENG101,FUNDAMENTALS OF ENGLISH,A,4
MAT110,MATHEMATICS I: DIFFERENTIAL CALCULUS & COORDINATE GEOMETRY,A,4
PHY111,PRINCIPLES OF PHYSICS I,A,4
ANT101,INTRODUCTION TO ANTHROPOLOGY,A,4
CSE230,DISCRETE MATHEMATICS,A,4
MAT123,CALCULUS I,A,4
MAT222,DIFFERENTIAL EQUATIONS I,A,4
STA201,ELEMENTS OF STATISTICS AND PROBABILITY,A,4
CSE111,PROGRAMMING LANGUAGE-II,A,4
MAT212,LINEAR ALGEBRA,A+,4
MAT322,DIFFERENTIAL EQUATIONS II,A+,4
PHY112,PRINCIPLES OF PHYSICS II,A+,4
BNG103,BANGLA LANGUAGE AND LITERATURE,B,3
CSE220,DATA STRUCTURES,A,4
EMB101,EMERGENCE OF BANGLADESH,B+,3.3
ENG102,ENGLISH COMPOSITION I,A,4
HUM103,ETHICS AND CULTURE,A,4
CSE221,ALGORITHMS,A,4
CSE250,CIRCUITS AND ELECTRONICS,A+,4
CSE260,DIGITAL LOGIC DESIGN,A,4
MAT211,CALCULUS II,A,4
MAT221,REAL ANALYSIS I,A,4
CSE251,ELECTRONIC DEVICES AND CIRCUITS,A+,4
CSE320,DATA COMMUNICATIONS,A,4
CSE331,AUTOMATA AND COMPUTABILITY,A,4
CSE370,DATABASE SYSTEMS,A+,4
MAT316,OPERATIONS RESEARCH I,A,4
CSE420,COMPILER DESIGN,A,4
CSE471,SYSTEM ANALYSIS AND DESIGN,A,4
HUM102,INTRODUCTION TO PHILOSOPHY,B,3
MAT215,MATHEMATICS III: COMPLEX VARIABLES & LAPLACE TRANSFORMATIONS,A+,4
MAT311,ABSTRACT ALGEBRA,A,4
CSE330,NUMERICAL METHODS,A+,4
CSE340,COMPUTER ARCHITECTURE,A,4
CSE341,MICROPROCESSOR,A,4
CSE422,ARTIFICIAL INTELLIGE,A,4
MAT325,MATHEMATICAL METHODS,A-,3.7
CSE350,DIGITAL ELECTRONICS AND PULSE TECHNIQUES,A+,4
CSE360,COMPUTER INTERFACING,A,4
CST307,"ART, COMMUNITY AND THE FUTURE",A-,3.7
MAT314,COMPLEX ANALYSIS,A,4
CSE423,COMPUTER GRAPHICS,A+,4
MAT321,REAL ANALYSIS II,B+,3.3
BIO101,INTRODUCTION TO BIOLOGY,A+,4
CSE470,SOFTWARE ENGINEERING,A,4
MAT411,TOPOLOGY,B+,3.3
MAT422,THEORY OF NUMBERS,A,4
MAT469,MEASURE THEORY,A,4
CSE437,DATA SCIENCE,A+,4
CSE461,INTRODUCTION TO ROBOTICS,A+,4
CSE321,OPERATING SYSTEMS,A+,4
PSY101,INTRODUCTION TO PSYCHOLOGY,A,4
MAT323,DYNAMICAL SYSTEMS,A,4
MAT111,PRINCIPLES OF MATHEMATICS,A,4

CSE426,GRAPH THEORY,A,4
CSE421,COMPUTER NETWORKS,A,4
CSE460,VLSI DESIGN,A+,4
MAT350,MATHEMATICS LAB II,A,4
MAT312,NUMERICAL ANALYSIS II,A+,4
